Word,UniqueLetters,Score
AAHED,4,14688
AALII,3,15217
AARGH,4,12839
ABACA,3,13976
ABACI,4,12814
ABACK,4,11159
ABAFT,4,11651
ABAKA,3,13478
ABAMP,4,11400
ABASE,4,17151
ABASH,4,14253
ABATE,4,15068
ABAYA,3,13947
ABBAS,3,14071
ABBES,4,14416
ABBEY,4,11557
ABBOT,4,10966
ABEAM,4,14175
ABELE,4,15496
ABETS,5,15579
ABHOR,5,11779
ABIDE,5,13344
ABLED,5,13017
ABLER,5,14210
ABLES,5,15662
ABMHO,5,10255
ABODE,5,13484
ABOHM,5,10255
ABOIL,5,12622
ABOMA,4,12808
ABOON,4,12455
ABORT,5,12760
ABOUT,5,11660
ABOVE,5,12306
ABRIS,5,14703
ABUSE,5,15110
ABUTS,5,13193
ABUZZ,4,7142
ABYES,5,14803
ABYSM,5,11993
ABYSS,4,14969
ACAIS,4,16060
ACARI,4,14608
ACERB,5,13380
ACETA,4,15484
ACHED,5,12369
ACHES,5,15014
ACHOO,4,12114
ACIDS,5,13926
ACIDY,5,11067
ACING,5,11056
ACINI,4,12591
ACKEE,4,14584
ACMES,5,15102
ACMIC,4,10765
ACNED,5,13126
ACNES,5,15771
ACOCK,4,10553
ACOLD,5,12066
ACORN,5,12952
ACRED,5,13981
ACRES,5,16626
ACRID,5,12474
ACROS,5,15259
ACTED,5,13350
ACTIN,5,12181
ACTOR,5,13176
ACUTE,5,13443
ACYLS,5,13385
ADAGE,4,14544
ADAPT,4,12894
ADBOT,5,11567
ADDAX,3,11178
ADDED,3,12973
ADDER,4,14166
ADDLE,4,13618
ADEEM,4,15121
ADEPT,5,13239
ADIEU,5,14038
ADIOS,5,15223
ADITS,5,14673
ADMAN,4,12635
ADMEN,5,12980
ADMIN,5,11473
ADMIT,5,11697
ADMIX,5,9685
ADOBE,5,13484
ADOBO,4,12117
ADOPT,5,11872
ADORE,5,15278
ADORN,5,13137
ADOWN,5,10986
ADOZE,5,12663
ADULT,5,11794
ADUNC,5,10740
ADUST,5,13794
ADYTA,4,12976
ADZED,4,11551
ADZES,5,14196
AECIA,4,15894
AEDES,4,18097
AEGIS,5,16027
AEONS,5,17068
AERIE,4,17617
AFARS,4,15528
AFFIX,4,8140
AFIRE,5,14200
AFOOT,4,12342
AFORE,5,14340
AFOUL,5,11406
AFRIT,5,12283
AFROS,5,14506
AFTER,5,13790
AGAIN,4,13375
AGAMA,3,13868
AGAPE,4,14248
AGARS,4,15903
AGATE,4,15106
AGAVE,4,13366
AGAZE,4,13122
AGENE,4,15227
AGENT,5,13310
AGERS,5,16248
AGGER,4,13040
AGGIE,4,12819
AGGRO,4,11673
AGHAS,4,14291
AGILE,5,14027
AGING,4,10678
AGIOS,5,14660
AGISM,5,13217
AGIST,5,14110
AGITA,4,13599
AGLEE,4,15534
AGLET,5,13617
AGLEY,5,12841
AGLOO,4,12800
AGLOW,5,10730
AGLUS,5,13314
AGMAS,4,14379
AGONE,5,13860
AGONS,5,14026
AGONY,5,11167
AGORA,4,14370
AGREE,4,16082
AGRIA,4,14230
AGROS,5,14881
AGUED,5,12503
AGUES,5,15148
AHEAD,4,14688
AHING,5,10822
AHOLD,5,11832
AHULL,4,11458
AIDED,4,13945
AIDER,5,15138
AIDES,5,16590
AILED,5,14590
AIMED,5,13614
AIMER,5,14807
AIOLI,4,14195
AIRED,5,15138
AIRER,4,16331
AIRNS,5,15642
AIRTH,5,12802
AIRTS,5,15866
AISLE,5,17235
AITCH,5,11424
AIVER,5,13960
AIYEE,4,16210
AJIES,5,15119
AJIVA,4,10951
AJUGA,4,10687
AKEES,4,17414
AKELA,4,15069
AKENE,4,15107
ALACK,4,12405
ALAMO,4,14054
ALAND,4,13611
ALANE,4,16090
ALANG,4,13048
ALANS,4,16256
ALANT,4,14173
ALARM,4,14135
ALARY,4,14252
ALATE,4,16314
ALBAS,4,15317
ALBUM,5,10300
ALCID,5,11926
ALDER,5,14811
ALDOL,4,12896
ALECS,5,16078
ALEFS,5,15325
ALEPH,5,12903
ALERT,5,15373
ALFAS,4,14980
ALGAE,4,15189
ALGAL,3,13355
ALGAS,4,15355
ALGID,5,11548
ALGIN,5,11886
ALGOR,5,12881
ALGUM,5,10338
ALIAS,4,16890
ALIBI,4,12482
ALIEN,5,14928
ALIFS,5,13818
ALIGN,5,11886
ALIKE,5,13907
ALINE,5,14928
ALIST,5,15318
ALIVE,5,13412
ALIYA,4,14031
ALKIE,5,13907
ALKYD,5,10242
ALKYL,4,10887
ALLAY,3,13704
ALLEE,3,16742
ALLEY,4,14049
ALLOD,4,12896
ALLOT,4,13458
ALLOW,4,11938
ALLOY,4,12682
ALLYL,3,12215
ALMAH,4,12523
ALMAS,4,15587
ALMEH,5,12868
ALMES,5,15932
ALMUD,5,10901
ALMUG,5,10338
ALOES,5,17375
ALOFT,5,11875
ALOHA,4,13966
ALOIN,5,13561
ALONE,5,15068
ALONG,5,12026
ALOOF,4,12425
ALOUD,5,12344
ALPHA,4,12558
ALTAR,4,15028
ALTER,5,15373
ALTHO,5,12394
ALTOS,5,15458
ALULA,3,14011
ALUMS,5,13546
ALVAR,4,13288
ALWAY,4,12101
AMAHS,4,14523
AMAIN,4,13607
AMASS,3,17587
AMAZE,4,13354
AMBER,5,13234
AMBIT,5,11096
AMBLE,5,12686
AMBOS,5,13319
AMBRY,5,10541
AMEBA,4,14175
AMEER,4,16314
AMEND,5,12980
AMENS,5,15625
AMENT,5,13542
AMIAS,4,15914
AMICE,5,13429
AMICI,4,11922
AMIDE,5,13614
AMIDO,5,12247
AMIDS,5,13780
AMIES,5,16259
AMIGA,4,12706
AMIGO,5,11684
AMINE,5,13952
AMINO,5,12585
AMINS,5,14118
AMIRS,5,14973
AMISS,4,16425
AMITY,5,11483
AMMOS,4,13589
AMNIA,4,13607
AMNIC,5,11288
AMNIO,5,12585
AMOKS,5,13237
AMOLE,5,14399
AMONG,5,11050
AMORT,5,13030
AMOUR,5,12561
AMPED,5,12346
AMPLE,5,12991
AMPLY,5,10298
AMPUL,5,10605
AMRIT,5,12890
AMUCK,5,9388
AMUSE,5,15380
AMYLS,5,13239
ANCHO,5,11340
ANCON,4,12097
ANDRO,5,13137
ANEAR,4,16638
ANELE,4,16435
ANENT,4,14211
ANGAS,4,15048
ANGEL,5,13393
ANGER,5,13941
ANGLE,5,13393
ANGLO,5,12026
ANGRY,5,11248
ANGST,5,13476
ANILE,5,14928
ANILS,5,15094
ANIMA,4,13607
ANIME,5,13952
ANIMI,4,12445
ANION,4,13254
ANISE,5,16928
ANKHS,5,12375
ANKLE,5,13273
ANKUS,5,12887
ANLAS,4,16256
ANNAL,3,13949
ANNAS,3,15949
ANNEX,4,12199
ANNOY,4,12068
ANNUL,4,11908
ANOAS,4,16723
ANODE,5,14423
ANOLE,5,15068
ANOMY,5,11399
ANSAE,4,18090
ANTAE,4,16007
ANTAS,4,16173
ANTED,5,13873
ANTES,5,16518
ANTIC,5,12181
ANTIS,5,15011
ANTRA,4,14721
ANTRE,5,15066
ANTSY,5,13825
ANURA,4,14252
ANVIL,5,11271
ANYON,4,12068
AORTA,4,15495
APACE,4,14626
APART,4,14087
APEAK,4,14128
APEEK,4,14473
APERS,5,16515
APERY,5,13656
APHID,5,10751
APHIS,5,13396
APIAN,4,13642
APING,5,10945
APISH,5,13396
APNEA,4,15149
APODS,5,13955
APORT,5,13065
APPAL,3,12681
APPEL,4,13026
APPLE,4,13026
APPLY,4,10333
APRES,5,16515
APRON,5,12841
APSES,4,17967
APSIS,4,16460
APTER,5,14432
APTLY,5,11191
AQUAE,4,13613
AQUAS,4,13779
ARAKS,4,15783
ARAME,4,15969
ARBOR,4,13391
ARCED,5,13981
ARCHI,5,12055
ARCUS,5,14240
ARDEB,5,13565
ARDOR,4,13992
AREAE,3,18779
AREAL,4,16945
AREAS,4,18945
ARECA,4,16115
AREIC,5,14953
ARENA,4,16638
ARENE,4,16983
AREPA,4,16004
ARETE,4,17207
ARGAL,4,13903
ARGIL,5,12741
ARGLE,5,14248
ARGOL,5,12881
ARGON,5,12574
ARGOT,5,12798
ARGUE,5,13696
ARGUS,5,13862
ARHAT,4,13964
ARIAS,4,17438
ARIEL,5,15783
ARILS,5,15949
ARISE,5,17783
ARLES,5,17456
ARMED,5,13835
ARMER,4,15028
ARMET,5,14397
ARMOR,4,13661
AROID,5,13771
AROMA,4,14602
AROSE,5,17923
ARPEN,5,14208
ARRAS,3,17659
ARRAY,3,14800
ARRIS,4,16497
ARROW,4,13034
ARROZ,4,12570
ARSES,4,19456
ARSIS,4,17949
ARSON,5,15782
ARTAL,4,15028
ARTEL,5,15373
ARTSY,5,14680
ARUMS,5,14094
ARVAL,4,13288
ARVOS,5,14266
ARYLS,5,14763
ASANA,3,17745
ASCON,5,14404
ASCOT,5,14628
ASCUS,4,15692
ASDIC,5,13926
ASHED,5,15199
ASHEN,5,15537
ASHES,4,17844
ASIDE,5,16590
ASKED,5,14935
ASKER,5,16128
ASKEW,5,13977
ASKOI,5,14540
ASKOS,4,16213
ASPEN,5,15660
ASPER,5,16515
ASPIC,5,13630
ASPIS,4,16460
ASSAI,3,18890
ASSAY,3,17704
ASSES,3,20908
ASSET,4,18825
ASTER,5,17373
ASTIR,5,15866
ASURA,4,16559
ASWIM,5,12822
ASYLA,4,15704
ATAPS,4,15539
ATAXY,4,11526
ATIGI,4,12437
ATILT,4,13235
ATLAS,4,16480
ATMAN,4,13197
ATMAS,4,15504
ATOLL,4,13458
ATOMS,5,14482
ATOMY,5,11623
ATONE,5,14985
ATONY,5,12292
ATOPY,5,11658
ATRIA,4,15355
ATRIP,5,12925
ATTAR,3,14945
ATTIC,4,12405
AUDAD,3,12721
AUDIO,5,12671
AUDIT,5,12121
AUGER,5,13696
AUGHT,5,10167
AUGUR,4,11310
AULIC,5,12019
AUNTS,5,14132
AUNTY,5,11273
AURAE,4,16393
AURAL,4,14559
AURAR,3,15107
AURAS,4,16559
AUREI,5,15231
